movie name,movie link,movie_rating
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,8.6
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/,8.3
Jurassic Park,https://www.imdb.com/title/tt0107290/,8.2
The Godfather,https://www.imdb.com/title/tt0068646/,9.2
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,8.3
The Godfather Part II,https://www.imdb.com/title/tt0071562/,9.0
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,9.3
Star Wars,https://www.imdb.com/title/tt0076759/,8.6
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,8.4
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/,8.1
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,8.2
Goodfellas,https://www.imdb.com/title/tt0099685/,8.7
The Dark Knight,https://www.imdb.com/title/tt0468569/,9.0
Whiplash,https://www.imdb.com/title/tt2582802/,8.5
Interstellar,https://www.imdb.com/title/tt0816692/,8.6
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,8.1
Forrest Gump,https://www.imdb.com/title/tt0109830/,8.8
Joker,https://www.imdb.com/title/tt7286456/,8.4
Pulp Fiction,https://www.imdb.com/title/tt0110912/,8.9
Inception,https://www.imdb.com/title/tt1375666/,8.8
The Departed,https://www.imdb.com/title/tt0407887/,8.5
Toy Story,https://www.imdb.com/title/tt0114709/,8.3
Heat,https://www.imdb.com/title/tt0113277/,8.3
Back to the Future,https://www.imdb.com/title/tt0088763/,8.5
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,8.4
Fight Club,https://www.imdb.com/title/tt0137523/,8.8
Taxi Driver,https://www.imdb.com/title/tt0075314/,8.2
The Green Mile,https://www.imdb.com/title/tt0120689/,8.6
Parasite,https://www.imdb.com/title/tt6751668/,8.5
Requiem for a Dream,https://www.imdb.com/title/tt0180093/,8.3
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,8.8
Saving Private Ryan,https://www.imdb.com/title/tt0120815/,8.6
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,8.3
Inglourious Basterds,https://www.imdb.com/title/tt0361748/,8.3
Se7en,https://www.imdb.com/title/tt0114369/,8.6
Léon: The Professional,https://www.imdb.com/title/tt0110413/,8.5
Apocalypse Now,https://www.imdb.com/title/tt0078788/,8.5
Schindler's List,https://www.imdb.com/title/tt0108052/,9.0
Indiana Jones and the Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,8.4
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,8.7
Django Unchained,https://www.imdb.com/title/tt1853728/,8.4
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,8.6
Alien,https://www.imdb.com/title/tt0078748/,8.5
The Sound of Music,https://www.imdb.com/title/tt0059742/,8.1
Gone Girl,https://www.imdb.com/title/tt2267998/,8.1
Die Hard,https://www.imdb.com/title/tt0095016/,8.2
Blade Runner,https://www.imdb.com/title/tt0083658/,8.1
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,8.1
Aliens,https://www.imdb.com/title/tt0090605/,8.4
No Country for Old Men,https://www.imdb.com/title/tt0477348/,8.2
movie name,movie link,movie_rating
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,8.6
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/,8.3
Jurassic Park,https://www.imdb.com/title/tt0107290/,8.2
The Godfather,https://www.imdb.com/title/tt0068646/,9.2
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,8.3
The Godfather Part II,https://www.imdb.com/title/tt0071562/,9.0
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,9.3
Star Wars,https://www.imdb.com/title/tt0076759/,8.6
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,8.4
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/,8.1
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,8.2
Goodfellas,https://www.imdb.com/title/tt0099685/,8.7
The Dark Knight,https://www.imdb.com/title/tt0468569/,9.0
Whiplash,https://www.imdb.com/title/tt2582802/,8.5
Interstellar,https://www.imdb.com/title/tt0816692/,8.6
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,8.1
Forrest Gump,https://www.imdb.com/title/tt0109830/,8.8
Joker,https://www.imdb.com/title/tt7286456/,8.4
Pulp Fiction,https://www.imdb.com/title/tt0110912/,8.9
Inception,https://www.imdb.com/title/tt1375666/,8.8
The Departed,https://www.imdb.com/title/tt0407887/,8.5
Toy Story,https://www.imdb.com/title/tt0114709/,8.3
Heat,https://www.imdb.com/title/tt0113277/,8.3
Back to the Future,https://www.imdb.com/title/tt0088763/,8.5
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,8.4
Fight Club,https://www.imdb.com/title/tt0137523/,8.8
Taxi Driver,https://www.imdb.com/title/tt0075314/,8.2
The Green Mile,https://www.imdb.com/title/tt0120689/,8.6
Parasite,https://www.imdb.com/title/tt6751668/,8.5
Requiem for a Dream,https://www.imdb.com/title/tt0180093/,8.3
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,8.8
Saving Private Ryan,https://www.imdb.com/title/tt0120815/,8.6
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,8.3
Inglourious Basterds,https://www.imdb.com/title/tt0361748/,8.3
Se7en,https://www.imdb.com/title/tt0114369/,8.6
Léon: The Professional,https://www.imdb.com/title/tt0110413/,8.5
Apocalypse Now,https://www.imdb.com/title/tt0078788/,8.5
Schindler's List,https://www.imdb.com/title/tt0108052/,9.0
Indiana Jones and the Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,8.4
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,8.7
Django Unchained,https://www.imdb.com/title/tt1853728/,8.4
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,8.6
Alien,https://www.imdb.com/title/tt0078748/,8.5
The Sound of Music,https://www.imdb.com/title/tt0059742/,8.1
Gone Girl,https://www.imdb.com/title/tt2267998/,8.1
Die Hard,https://www.imdb.com/title/tt0095016/,8.2
Blade Runner,https://www.imdb.com/title/tt0083658/,8.1
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,8.1
Aliens,https://www.imdb.com/title/tt0090605/,8.4
No Country for Old Men,https://www.imdb.com/title/tt0477348/,8.2
movie name,movie link,movie_rating
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,8.6
Everything Everywhere All at Once,https://www.imdb.com/title/tt6710474/,8.3
Jurassic Park,https://www.imdb.com/title/tt0107290/,8.2
The Godfather,https://www.imdb.com/title/tt0068646/,9.2
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/,8.3
The Godfather Part II,https://www.imdb.com/title/tt0071562/,9.0
The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,9.3
Star Wars,https://www.imdb.com/title/tt0076759/,8.6
Avengers: Endgame,https://www.imdb.com/title/tt4154796/,8.4
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/,8.1
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,8.2
Goodfellas,https://www.imdb.com/title/tt0099685/,8.7
The Dark Knight,https://www.imdb.com/title/tt0468569/,9.0
Whiplash,https://www.imdb.com/title/tt2582802/,8.5
Interstellar,https://www.imdb.com/title/tt0816692/,8.6
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/,8.1
Forrest Gump,https://www.imdb.com/title/tt0109830/,8.8
Joker,https://www.imdb.com/title/tt7286456/,8.4
Pulp Fiction,https://www.imdb.com/title/tt0110912/,8.9
Inception,https://www.imdb.com/title/tt1375666/,8.8
The Departed,https://www.imdb.com/title/tt0407887/,8.5
Toy Story,https://www.imdb.com/title/tt0114709/,8.3
Heat,https://www.imdb.com/title/tt0113277/,8.3
Back to the Future,https://www.imdb.com/title/tt0088763/,8.5
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,8.4
Fight Club,https://www.imdb.com/title/tt0137523/,8.8
Taxi Driver,https://www.imdb.com/title/tt0075314/,8.2
The Green Mile,https://www.imdb.com/title/tt0120689/,8.6
Parasite,https://www.imdb.com/title/tt6751668/,8.5
Requiem for a Dream,https://www.imdb.com/title/tt0180093/,8.3
The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,8.8
Saving Private Ryan,https://www.imdb.com/title/tt0120815/,8.6
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,8.3
Inglourious Basterds,https://www.imdb.com/title/tt0361748/,8.3
Se7en,https://www.imdb.com/title/tt0114369/,8.6
Léon: The Professional,https://www.imdb.com/title/tt0110413/,8.5
Apocalypse Now,https://www.imdb.com/title/tt0078788/,8.5
Schindler's List,https://www.imdb.com/title/tt0108052/,9.0
Indiana Jones and the Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,8.4
Star Wars: Episode V - The Empire Strikes Back,https://www.imdb.com/title/tt0080684/,8.7
Django Unchained,https://www.imdb.com/title/tt1853728/,8.4
The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,8.6
Alien,https://www.imdb.com/title/tt0078748/,8.5
The Sound of Music,https://www.imdb.com/title/tt0059742/,8.1
Gone Girl,https://www.imdb.com/title/tt2267998/,8.1
Die Hard,https://www.imdb.com/title/tt0095016/,8.2
Blade Runner,https://www.imdb.com/title/tt0083658/,8.1
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/,8.1
Aliens,https://www.imdb.com/title/tt0090605/,8.4
No Country for Old Men,https://www.imdb.com/title/tt0477348/,8.2
